date,29/02/2020,01/03/2020,02/03/2020,03/03/2020,04/03/2020,05/03/2020,06/03/2020,07/03/2020,08/03/2020,09/03/2020,10/03/2020,11/03/2020,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020,03/07/2020,04/07/2020,05/07/2020,06/07/2020,07/07/2020,08/07/2020,09/07/2020,10/07/2020,11/07/2020,12/07/2020,13/07/2020,14/07/2020,15/07/2020,16/07/2020,17/07/2020,18/07/2020,19/07/2020,20/07/2020,21/07/2020,22/07/2020,23/07/2020,24/07/2020,25/07/2020,26/07/2020,27/07/2020,28/07/2020,29/07/2020,30/07/2020,31/07/2020,01/08/2020,02/08/2020,03/08/2020,04/08/2020,05/08/2020,06/08/2020,07/08/2020,08/08/2020,09/08/2020,10/08/2020,11/08/2020,12/08/2020,13/08/2020,14/08/2020,15/08/2020,16/08/2020,17/08/2020,18/08/2020,19/08/2020,20/08/2020,21/08/2020,22/08/2020,23/08/2020,24/08/2020,25/08/2020,26/08/2020,27/08/2020,28/08/2020,29/08/2020,30/08/2020,31/08/2020,01/09/2020,02/09/2020,03/09/2020,04/09/2020,05/09/2020,06/09/2020,07/09/2020,08/09/2020,09/09/2020,10/09/2020,11/09/2020,12/09/2020,13/09/2020,14/09/2020,15/09/2020,16/09/2020,17/09/2020,18/09/2020,19/09/2020,20/09/2020,21/09/2020,22/09/2020,23/09/2020,24/09/2020,25/09/2020,26/09/2020,27/09/2020,28/09/2020,29/09/2020,30/09/2020,01/10/2020,02/10/2020,03/10/2020,04/10/2020,05/10/2020,06/10/2020,07/10/2020,08/10/2020,09/10/2020,10/10/2020,11/10/2020,12/10/2020,13/10/2020,14/10/2020,15/10/2020,16/10/2020,17/10/2020,18/10/2020,19/10/2020,20/10/2020,21/10/2020,22/10/2020,23/10/2020,24/10/2020,25/10/2020,26/10/2020,27/10/2020,28/10/2020,29/10/2020,30/10/2020,31/10/2020,01/11/2020,02/11/2020,03/11/2020,04/11/2020,05/11/2020,06/11/2020,07/11/2020,08/11/2020,09/11/2020,10/11/2020,11/11/2020,12/11/2020,13/11/2020,14/11/2020,15/11/2020,16/11/2020,17/11/2020,18/11/2020,19/11/2020,20/11/2020,21/11/2020,22/11/2020,23/11/2020,24/11/2020,25/11/2020,26/11/2020,27/11/2020,28/11/2020,29/11/2020,30/11/2020,01/12/2020,02/12/2020,03/12/2020,04/12/2020,05/12/2020,06/12/2020,07/12/2020,08/12/2020,09/12/2020,10/12/2020,11/12/2020,12/12/2020,13/12/2020,14/12/2020,15/12/2020,16/12/2020,17/12/2020,18/12/2020,19/12/2020,20/12/2020,21/12/2020,22/12/2020,23/12/2020,24/12/2020,25/12/2020,26/12/2020,27/12/2020,28/12/2020,29/12/2020,30/12/2020,31/12/2020,01/01/2021,02/01/2021,03/01/2021,04/01/2021,05/01/2021,06/01/2021,07/01/2021,08/01/2021,09/01/2021,10/01/2021,11/01/2021,12/01/2021,13/01/2021,14/01/2021,15/01/2021,16/01/2021,17/01/2021,18/01/2021,19/01/2021,20/01/2021,21/01/2021,22/01/2021,23/01/2021,24/01/2021,25/01/2021,26/01/2021,27/01/2021,28/01/2021,29/01/2021,30/01/2021,31/01/2021,01/02/2021,02/02/2021,03/02/2021,04/02/2021,05/02/2021,06/02/2021,07/02/2021,08/02/2021,09/02/2021,10/02/2021,11/02/2021,12/02/2021,13/02/2021,14/02/2021,15/02/2021,16/02/2021,17/02/2021,18/02/2021,19/02/2021,20/02/2021,21/02/2021,22/02/2021,23/02/2021,24/02/2021,25/02/2021,26/02/2021,27/02/2021,28/02/2021,01/03/2021,02/03/2021,03/03/2021,04/03/2021,05/03/2021,06/03/2021,07/03/2021,08/03/2021,09/03/2021,10/03/2021,11/03/2021,12/03/2021,13/03/2021,14/03/2021,15/03/2021,16/03/2021,17/03/2021,18/03/2021,19/03/2021,20/03/2021,21/03/2021,22/03/2021,23/03/2021,24/03/2021,25/03/2021,26/03/2021,27/03/2021,28/03/2021,29/03/2021,30/03/2021,31/03/2021,01/04/2021,02/04/2021,03/04/2021,04/04/2021,05/04/2021,06/04/2021,07/04/2021,08/04/2021,09/04/2021,10/04/2021,11/04/2021,12/04/2021,13/04/2021,14/04/2021,15/04/2021,16/04/2021,17/04/2021,18/04/2021,19/04/2021,20/04/2021,21/04/2021,22/04/2021,23/04/2021,24/04/2021
location,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland,Ireland
total_cases,1,1,1,2,6,6,18,18,19,21,34,43,43,90,129,129,169,223,292,557,683,785,906,1125,1329,1564,1819,2121,2415,2615,2910,3235,3447,3849,4273,4604,4994,5364,5709,6074,6574,8089,8928,9655,10647,11479,12547,13271,13980,14758,15251,15652,16040,16671,17607,18184,18561,19262,19648,19877,20253,20612,20833,21176,21506,21772,21983,22248,22385,22541,22760,22996,23135,23242,23401,23827,23956,24048,24112,24200,24251,24315,24391,24506,24582,24639,24698,24735,24803,24841,24876,24929,24990,25062,25066,25111,25142,25163,25183,25201,25207,25215,25231,25238,25250,25295,25303,25321,25334,25341,25355,25368,25374,25379,25383,25391,25396,25405,25414,25437,25439,25462,25473,25477,25489,25498,25509,25527,25531,25538,25542,25565,25589,25611,25628,25638,25670,25683,25698,25730,25750,25760,25766,25802,25819,25826,25845,25869,25881,25892,25929,25942,26027,26065,26109,26162,26208,26253,26303,26372,26470,26644,26712,26768,26801,26838,26929,26995,27191,27257,27313,27499,27547,27676,27755,27908,27969,28116,28201,28363,28453,28578,28720,28760,28811,29025,29114,29206,29303,29534,29672,29774,30080,30164,30360,30571,30730,30985,31192,31549,31799,32023,32271,32538,32933,33121,33444,33675,33994,34315,34560,34990,35377,35740,36155,36597,37063,37668,38032,38549,38973,39584,40086,40703,41714,42528,43351,44159,45243,46429,47427,48678,49962,50993,52256,53422,54476,55261,56108,57128,58067,58767,59434,60297,61059,61456,62002,62750,63048,63483,64046,64538,64855,65394,65659,65889,66247,66632,67099,67526,67903,68356,68686,69058,69473,69802,70143,70461,70711,70930,71187,71494,71699,71942,72241,72544,72798,73066,73228,73491,73948,74246,74468,74682,74900,75203,75507,75756,76185,76449,76776,77197,77678,78254,78776,79542,80267,81228,82155,83073,84098,85394,86129,86894,88439,90157,91779,93532,96926,101887,107997,113322,121154,127657,135884,140727,147613,152539,155591,159144,163057,166548,169780,172726,174843,176839,179324,181922,184279,186184,187554,188923,189851,191182,192645,193892,195303,196547,197553,198424,199430,200744,201763,202548,203568,204397,204940,205939,206801,207720,208796,209582,210402,211113,211751,212647,213400,214378,215057,215743,216300,216840,217478,218251,218980,219592,220273,220630,221189,221649,222169,222699,223219,223651,223957,224588,225179,225820,226358,226741,227316,227663,228215,228796,229306,229831,230599,231119,231484,232164,232758,233327,233937,234541,235078,235444,235854,236600,237187,237695,238148,238466,238907,239325,239723,240192,240643,240945,241330,241684,242105,242402,242819,243238,243508,243911,244297,244695,245310,245743,246204
new_cases,1,0,0,1,4,0,12,0,1,2,13,9,0,47,39,0,40,54,69,265,126,102,121,219,204,235,255,302,294,200,295,325,212,402,424,331,390,370,345,365,500,1515,839,727,992,832,1068,724,709,778,493,401,388,631,936,577,377,701,386,229,376,359,221,343,330,266,211,265,137,156,219,236,139,107,159,426,129,92,64,88,51,64,76,115,76,57,59,37,68,38,35,53,61,72,4,45,31,21,20,18,6,8,16,7,12,45,8,18,13,7,14,13,6,5,4,8,5,9,9,23,2,23,11,4,12,9,11,18,4,7,4,23,24,22,17,10,32,13,15,32,20,10,6,36,17,7,19,24,12,11,37,13,85,38,44,53,46,45,50,69,98,174,68,56,33,37,91,66,196,66,56,186,48,129,79,153,61,147,85,162,90,125,142,40,51,214,89,92,97,231,138,102,306,84,196,211,159,255,207,357,250,224,248,267,395,188,323,231,319,321,245,430,387,363,415,442,466,605,364,517,424,611,502,617,1011,814,823,808,1084,1186,998,1251,1284,1031,1263,1166,1054,785,847,1020,939,700,667,863,762,397,546,748,298,435,563,492,317,539,265,230,358,385,467,427,377,453,330,372,415,329,341,318,250,219,257,307,205,243,299,303,254,268,162,263,457,298,222,214,218,303,304,249,429,264,327,421,481,576,522,766,725,961,927,918,1025,1296,735,765,1545,1718,1622,1753,3394,4961,6110,5325,7832,6503,8227,4843,6886,4926,3052,3553,3913,3491,3232,2946,2117,1996,2485,2598,2357,1905,1370,1369,928,1331,1463,1247,1411,1244,1006,871,1006,1314,1019,785,1020,829,543,999,862,919,1076,786,820,711,638,896,753,978,679,686,557,540,638,773,729,612,681,357,559,460,520,530,520,432,306,631,591,641,538,383,575,347,552,581,510,525,768,520,365,680,594,569,610,604,537,366,410,746,587,508,453,318,441,418,398,469,451,302,385,354,421,297,417,419,270,403,386,398,615,433,461
total_deaths,,,,,,,,,,,,1,1,1,2,2,2,2,2,3,3,3,4,6,7,9,19,22,36,46,54,71,85,98,120,137,158,174,210,235,263,287,320,334,365,406,444,486,530,571,610,687,730,769,794,1014,1063,1087,1102,1159,1190,1232,1265,1286,1303,1319,1339,1375,1403,1429,1446,1458,1467,1488,1497,1506,1518,1533,1543,1547,1561,1571,1583,1592,1604,1608,1606,1615,1631,1639,1645,1651,1652,1650,1658,1659,1664,1670,1678,1679,1683,1691,1695,1703,1705,1705,1706,1706,1709,1710,1714,1714,1715,1715,1717,1720,1726,1727,1730,1734,1735,1735,1736,1738,1738,1740,1741,1741,1741,1742,1738,1743,1744,1746,1746,1746,1746,1748,1749,1752,1753,1753,1753,1753,1754,1763,1763,1764,1764,1764,1764,1764,1763,1763,1763,1763,1763,1763,1763,1768,1772,1772,1772,1772,1773,1774,1774,1774,1774,1774,1774,1775,1775,1776,1776,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,1777,1778,1781,1781,1781,1783,1784,1784,1787,1788,1789,1792,1792,1792,1792,1792,1794,1797,1797,1802,1802,1802,1803,1804,1806,1801,1810,1810,1810,1811,1816,1817,1821,1824,1826,1827,1830,1835,1838,1841,1849,1852,1852,1865,1868,1871,1878,1882,1882,1885,1890,1896,1902,1908,1913,1915,1917,1922,1930,1933,1940,1945,1947,1948,1963,1965,1965,1972,1978,1979,1984,1995,2006,2010,2018,2022,2023,2023,2028,2033,2036,2043,2050,2052,2053,2069,2074,2080,2086,2099,2099,2099,2097,2102,2117,2120,2123,2124,2126,2134,2140,2143,2149,2154,2158,2158,2171,2184,2192,2194,2200,2204,2205,2213,2226,2237,2248,2252,2259,2265,2282,2299,2307,2327,2336,2344,2352,2397,2460,2488,2536,2595,2608,2616,2708,2768,2818,2870,2947,2970,2977,3066,3120,3167,3214,3292,3307,3317,3418,3512,3586,3621,3674,3686,3687,3752,3794,3846,3865,3931,3948,3948,3980,4036,4082,4109,4135,4136,4137,4181,4237,4271,4300,4313,4319,4319,4333,4357,4396,4405,4419,4422,4422,4452,4499,4509,4518,4534,4534,4534,4552,4566,4566,4576,4585,4587,4588,4610,4628,4631,4651,4653,4666,4667,4681,4687,4705,4713,4715,4718,4718,4727,4732,4737,4769,4783,4785,4785,4803,4812,4820,4831,4835,4836,4836,4847,4856,4866,4867,4872
new_deaths,,,,,,,,,,,,1,0,0,1,0,0,0,0,1,0,0,1,2,1,2,10,3,14,10,8,17,14,13,22,17,21,16,36,25,28,24,33,14,31,41,38,42,44,41,39,77,43,39,25,220,49,24,15,57,31,42,33,21,17,16,20,36,28,26,17,12,9,21,9,9,12,15,10,4,14,10,12,9,12,4,-2,9,16,8,6,6,1,-2,8,1,5,6,8,1,4,8,4,8,2,0,1,0,3,1,4,0,1,0,2,3,6,1,3,4,1,0,1,2,0,2,1,0,0,1,-4,5,1,2,0,0,0,2,1,3,1,0,0,0,1,9,0,1,0,0,0,0,-1,0,0,0,0,0,0,5,4,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1,0,3,1,1,3,0,0,0,0,2,3,0,5,0,0,1,1,2,-5,9,0,0,1,5,1,4,3,2,1,3,5,3,3,8,3,0,13,3,3,7,4,0,3,5,6,6,6,5,2,2,5,8,3,7,5,2,1,15,2,0,7,6,1,5,11,11,4,8,4,1,0,5,5,3,7,7,2,1,16,5,6,6,13,0,0,-2,5,15,3,3,1,2,8,6,3,6,5,4,0,13,13,8,2,6,4,1,8,13,11,11,4,7,6,17,17,8,20,9,8,8,45,63,28,48,59,13,8,92,60,50,52,77,23,7,89,54,47,47,78,15,10,101,94,74,35,53,12,1,65,42,52,19,66,17,0,32,56,46,27,26,1,1,44,56,34,29,13,6,0,14,24,39,9,14,3,0,30,47,10,9,16,0,0,18,14,0,10,9,2,1,22,18,3,20,2,13,1,14,6,18,8,2,3,0,9,5,5,32,14,2,0,18,9,8,11,4,1,0,11,9,10,1,5
total_cases_per_million,0.203,0.203,0.203,0.405,1.215,1.215,3.645,3.645,3.848,4.253,6.886,8.708,8.708,18.227,26.125,26.125,34.226,45.162,59.136,112.803,138.321,158.978,183.483,227.834,269.148,316.741,368.383,429.544,489.085,529.589,589.332,655.151,698.085,779.498,865.366,932.4,1011.382,1086.315,1156.184,1230.103,1331.363,1638.18,1808.094,1955.326,2156.225,2324.721,2541.012,2687.636,2831.223,2988.783,3088.625,3169.835,3248.413,3376.203,3565.761,3682.615,3758.965,3900.931,3979.103,4025.48,4101.628,4174.332,4219.089,4288.553,4355.384,4409.255,4451.986,4505.654,4533.399,4564.992,4609.344,4657.139,4685.289,4706.958,4739.159,4825.432,4851.557,4870.189,4883.15,4900.972,4911.301,4924.262,4939.653,4962.943,4978.334,4989.878,5001.827,5009.32,5023.091,5030.787,5037.875,5048.609,5060.962,5075.544,5076.354,5085.467,5091.745,5095.998,5100.049,5103.694,5104.909,5106.529,5109.77,5111.187,5113.617,5122.731,5124.351,5127.996,5130.629,5132.047,5134.882,5137.515,5138.73,5139.743,5140.553,5142.173,5143.185,5145.008,5146.831,5151.489,5151.894,5156.552,5158.779,5159.589,5162.02,5163.842,5166.07,5169.715,5170.525,5171.943,5172.753,5177.411,5182.272,5186.727,5190.17,5192.195,5198.676,5201.308,5204.346,5210.827,5214.877,5216.902,5218.118,5225.408,5228.851,5230.269,5234.117,5238.977,5241.407,5243.635,5251.128,5253.761,5270.975,5278.671,5287.582,5298.315,5307.631,5316.745,5326.871,5340.844,5360.691,5395.93,5409.701,5421.042,5427.725,5435.218,5453.648,5467.014,5506.708,5520.074,5531.415,5569.084,5578.805,5604.93,5620.929,5651.914,5664.268,5694.038,5711.253,5744.061,5762.287,5787.602,5816.36,5824.461,5834.789,5878.129,5896.153,5914.785,5934.429,5981.211,6009.159,6029.816,6091.787,6108.798,6148.492,6191.224,6223.424,6275.067,6316.988,6389.288,6439.918,6485.282,6535.507,6589.58,6669.575,6707.649,6773.062,6819.844,6884.448,6949.457,6999.074,7086.157,7164.533,7238.047,7322.093,7411.606,7505.98,7628.505,7702.222,7806.924,7892.793,8016.532,8118.197,8243.151,8447.899,8612.749,8779.423,8943.059,9162.59,9402.778,9604.893,9858.244,10118.279,10327.077,10582.859,10818.997,11032.453,11191.43,11362.964,11569.534,11759.7,11901.464,12036.544,12211.319,12365.638,12446.039,12556.614,12708.099,12768.45,12856.546,12970.564,13070.204,13134.402,13243.56,13297.228,13343.808,13416.31,13494.28,13588.856,13675.332,13751.682,13843.423,13910.255,13985.592,14069.638,14136.266,14205.326,14269.727,14320.357,14364.708,14416.756,14478.929,14520.446,14569.658,14630.212,14691.575,14743.015,14797.29,14830.098,14883.361,14975.912,15036.263,15081.222,15124.562,15168.711,15230.074,15291.64,15342.068,15428.948,15482.414,15548.637,15633.898,15731.31,15847.961,15953.676,16108.806,16255.633,16450.254,16637.99,16823.903,17031.485,17293.951,17442.802,17597.73,17910.622,18258.551,18587.038,18942.054,19629.406,20634.105,21871.499,22949.915,24536.048,25853.032,27519.16,28499.962,29894.512,30892.123,31510.212,32229.764,33022.223,33729.218,34383.762,34980.384,35409.118,35813.347,36316.608,36842.753,37320.092,37705.891,37983.343,38260.592,38448.53,38718.084,39014.37,39266.912,39552.667,39804.601,40008.336,40184.73,40388.465,40654.575,40860.943,41019.921,41226.491,41394.379,41504.347,41706.664,41881.236,42067.352,42285.262,42444.443,42610.509,42754.5,42883.708,43065.165,43217.662,43415.726,43553.237,43692.165,43804.969,43914.329,44043.537,44200.084,44347.721,44471.663,44609.579,44681.878,44795.087,44888.246,44993.556,45100.891,45206.201,45293.69,45355.661,45483.451,45603.14,45732.955,45841.91,45919.475,46035.924,46106.198,46217.989,46335.653,46438.938,46545.26,46700.795,46806.105,46880.025,47017.738,47138.035,47253.268,47376.805,47499.127,47607.88,47682.002,47765.035,47916.115,48034.994,48137.874,48229.615,48294.016,48383.327,48467.98,48548.583,48643.565,48734.901,48796.062,48874.032,48945.724,49030.985,49091.133,49175.584,49260.439,49315.12,49396.735,49474.907,49555.51,49680.06,49767.751,49861.112
new_cases_per_million,0.203,0,0,0.203,0.81,0,2.43,0,0.203,0.405,2.633,1.823,0,9.518,7.898,0,8.101,10.936,13.974,53.668,25.517,20.657,24.505,44.352,41.314,47.592,51.642,61.161,59.541,40.504,59.743,65.819,42.934,81.413,85.868,67.034,78.983,74.932,69.869,73.92,101.26,306.817,169.914,147.232,200.899,168.496,216.291,146.624,143.586,157.56,99.842,81.21,78.578,127.79,189.558,116.854,76.35,141.966,78.173,46.377,76.147,72.705,44.757,69.464,66.831,53.87,42.732,53.668,27.745,31.593,44.352,47.795,28.15,21.67,32.201,86.273,26.125,18.632,12.961,17.822,10.328,12.961,15.391,23.29,15.391,11.544,11.949,7.493,13.771,7.696,7.088,10.734,12.354,14.581,0.81,9.113,6.278,4.253,4.05,3.645,1.215,1.62,3.24,1.418,2.43,9.113,1.62,3.645,2.633,1.418,2.835,2.633,1.215,1.013,0.81,1.62,1.013,1.823,1.823,4.658,0.405,4.658,2.228,0.81,2.43,1.823,2.228,3.645,0.81,1.418,0.81,4.658,4.86,4.455,3.443,2.025,6.481,2.633,3.038,6.481,4.05,2.025,1.215,7.291,3.443,1.418,3.848,4.86,2.43,2.228,7.493,2.633,17.214,7.696,8.911,10.734,9.316,9.113,10.126,13.974,19.847,35.238,13.771,11.341,6.683,7.493,18.429,13.366,39.694,13.366,11.341,37.669,9.721,26.125,15.999,30.985,12.354,29.77,17.214,32.808,18.227,25.315,28.758,8.101,10.328,43.339,18.024,18.632,19.644,46.782,27.948,20.657,61.971,17.012,39.694,42.732,32.201,51.642,41.922,72.299,50.63,45.364,50.225,54.073,79.995,38.074,65.414,46.782,64.604,65.009,49.617,87.083,78.375,73.515,84.046,89.514,94.374,122.524,73.717,104.703,85.868,123.739,101.665,124.955,204.747,164.851,166.674,163.636,219.531,240.188,202.114,253.352,260.035,208.798,255.782,236.138,213.456,158.978,171.534,206.57,190.166,141.764,135.081,174.774,154.32,80.4,110.576,151.485,60.351,88.096,114.018,99.64,64.199,109.158,53.668,46.579,72.502,77.97,94.577,86.476,76.35,91.741,66.831,75.337,84.046,66.629,69.059,64.401,50.63,44.352,52.048,62.173,41.516,49.212,60.553,61.363,51.44,54.275,32.808,53.263,92.551,60.351,44.959,43.339,44.149,61.363,61.566,50.427,86.881,53.465,66.224,85.261,97.412,116.651,105.715,155.13,146.827,194.621,187.736,185.913,207.582,262.465,148.852,154.927,312.893,347.929,328.487,355.017,687.351,1004.699,1237.394,1078.416,1586.133,1316.984,1666.128,980.802,1394.549,997.611,618.09,719.552,792.459,706.996,654.543,596.622,428.734,404.229,503.261,526.146,477.338,385.8,277.452,277.249,187.938,269.553,296.286,252.542,285.755,251.934,203.735,176.394,203.735,266.111,206.367,158.978,206.57,167.889,109.968,202.317,174.572,186.115,217.911,159.18,166.066,143.991,129.207,181.457,152.497,198.064,137.511,138.928,112.803,109.361,129.207,156.548,147.637,123.942,137.916,72.299,113.208,93.159,105.31,107.335,105.31,87.488,61.971,127.79,119.689,129.815,108.955,77.565,116.449,70.274,111.791,117.664,103.285,106.323,155.535,105.31,73.92,137.713,120.297,115.234,123.537,122.322,108.753,74.122,83.033,151.08,118.879,102.88,91.741,64.401,89.311,84.653,80.603,94.982,91.336,61.161,77.97,71.692,85.261,60.148,84.451,84.856,54.68,81.615,78.173,80.603,124.549,87.691,93.361
